Name,ENG,RUS,UKR,IsSingleMessage (All localizations are written in the same message), 
AddBlackList,Add user to a blacklist,Добавить пользователя в черный список,Додати користувача до чорного списку,,
RemoveBlackList,Remove user from a blacklist,Удалить пользователя из черного списка,Видалити користувача з чорного списку,,
ChooseOption,Choose the option:,Выбери вариант:,Вибери варіант:,,
IncreasedFamD,"When you invite someone, this person instantly receives like from you.\n","Когда ты приглашаешь кого-то, этот человек мгновенно получает лайк от тебя.\n","Коли ти запрошуєш когось, ця людина миттєво отримує лайк від тебе.\n",,
OceanSettings,OCEAN+ Settings,,,,
TurnOffOcean,Turn Off OCEAN+,,,,
ConsiderLangsInRand,Consider languages in Random Conversations,,,,
DeleteProfile,Delete profile,,,,
Skip,Skip,,,,
MyProfile,👤 My Profile 👤,👤 Мой профиль 👤,👤 Мій профіль 👤,,
OkB,Ok,,,,
FilterSettings,Filter Settings,Настройки фильтра,Налаштування фільтра,,
InventoryStatistics,Inventory and Statistics,Инвентарь и статистика,Інвентар і статистика,,
AdditionalActions,Additional Actions,Дополнительные действия,Додаткові дії,,
Exit,Exit,Выйти ,Вийти ,,
ViewBlacklist,View the blacklist,Просмотр черного списка,Перегляд чорного списку,,
ManageEncounters,Manage recently encountered users,Управление недавно встреченными пользователями,Керування нещодавно зустрінутими користувачами,,
ChangeProfile,Change profile properties,Изменение свойств профиля,Зміна властивостей профілю,,
SetStatus,⭐Set profile status⭐,⭐Установить статус профиля⭐,⭐Встановити статус профілю⭐,,
SetAutoReply,Set Auto reply message,Установить сообщение автоответчика,Встановити повідомлення автовідповідача,,
ChangeCurrency,Change payment currency,Изменить валюту платежа,Змінити валюту платежу,,
GoBack,Go Back,Вернуться назад,Повернутися назад,,
ManageOceanPoints,Manage OCEAN+ points,Управление баллами OCEAN+,Керування балами OCEAN+,,
PassTests,Pass Tests,Пройти тесты,Пройти тести,,
TurnOnOcean,Turn On OCEAN+,Включить  OCEAN+,Увімкнути OCEAN+,,
FreeToday,Free today,Бесплатно сегодня,Безкоштовно сьогодні,,
SendHints,Send Hints,Отправлять хинты,Відправляти хінти,,
CommentOnProfiles,Comment on user profiles,Комментируй профили пользователей,Коментуй профілі користувачів,,
FilterByRealPhoto,⭐Filter by a real photo⭐,⭐Фильтр по реальной фотографии⭐,⭐Фільтр з реальної фотографії⭐,,
Achievements,Achievements,Достижения,Досягнення,,
ManageEffects,Manage effects,Управление эффектами,Управління ефектами,,
TopupCoins,💎Top-Up coin balance💎,💎Повышение баланса монет💎,💎Підвищення балансу монет💎,,
TopupOcean,💎Top-Up OCEAN+ points balance💎,💎Баланс очков OCEAN+.,💎Баланс очок OCEAN+.,,
BuyPremium,💎Buy premium access💎,💎 Купить премиум доступ💎,💎 Купити преміум доступ💎,,
ActiveEffects,Active effects,Активные эффекты,Активні ефекти,,
MyEffects,My effects,Мои эффекты,Мої ефекти,,
InvCreds,Invitation Credentials,Параметры приглашения,Параметри запрошення,,
IncrFamiliarity,Increased Familiarity,Повысить близость ,Підвищити близькість,,
Partial,Partial,Частичный,Частковий,,
Full,Full,Полный,Повний,,
UseSecondChance,Use 💥Second chance💥,Используй 💥 Второй шанс💥,Використовуй 💥 Другий шанс💥,,
ReportUser,Report user,Сообщить о пользователе,Повідомити про користувача,,
ConfirmIdentity,Confirm my identity,Подтвердить мою личность,Підтвердити мою особистість,,
Link,Link,Ссылка,Посилання,,
QRCode,QR code,QR-код,QR-код,,
Activate,💥Activate💥,💥Активировать💥,💥Активувати💥,,
Buy,💥Buy💥,💥 Купить💥,💥 Купити💥,,
YesB,Yes,Да,Так,,
NoB,No,Нет,Ні,,
Done,Done,Выполнено,Виконано,,
