Id,NameENG,DescriptionENG,NameRU,DescriptionRU,NameUA,DescriptionUA,ConditionValue,Reward
1,👤Personality,"Fill out the registration form for the first time
",👤  Личность,"Заполнить анкету первый раз
",👤Особистість,Заповнити анкету вперше,1,50
2,👮‍♀️🕵️‍♂️👨‍🍳🧑‍💻Split,Fill out the questionnaire 25 times,👮‍♀️🕵️‍♂️👨‍🍳🧑‍💻Сплит,Заполнить анкету 25  раз,👮‍♀️🕵️‍♂️👨‍🍳🧑‍💻Спліт," Заповнити анкету 25 разів",25,100
3,👔👖Changed clothes,"Fill out the questionnaire 10 times
",👔👖Переоделся,Заполнить анкету 10 раз,👔👖Переодягся,Заповнити анкету 10 разів,10,50
4,🧊Icebreaker,"Pass the first psychological test
",🧊Ледокол,Пройти первый психологический тест,🧊Криголом," Пройти перший психологічний тест",1,30
5,🎙 Interview,Pass 5 psychological tests,🎙 Интервью,Пройти 5 психологических тестов,🎙 Інтерв'ю,"Пройти 5 психологічних тестів",5,70
6,📚Biography,"Pass 10 psychological tests",📚Биография.,Пройти 10 психологический тестов,📚 Біографія.,"Пройти 10 психологічних тестів",10,100
7,❄️🥶Cold,Weed out 10 profiles,❄️🥶Холод,Отсеять 10 анкет,❄️🥶Холод,Відсіяти 10 анкет,10,20
8,❄️🌨🥶Frost,Weed out 50 profiles,❄️🌨🥶Мороз,Отсеять 50 анкет,❄️🌨🥶Мороз,Відсіяти 50 анкет,50,50
9,🌨❄️☃️🥶 Winter storm,"Weed out 100 profiles",🌨❄️☃️🥶Дубарь,Отсеять 100 анкет,🌨❄️☃️🥶Дубар ,Відсіяти 100 анкет,100,100
10,🌨❄️☃️🥶🧊Sub- Zero,"Weed out 250 profiles",🌨❄️☃️🥶🧊Северный полюс,Отсеять 250 анкет,🌨❄️☃️🥶🧊Північний полюс,"Відсіяти 250 анкет",250,250
11,⚽️ Bail on them,Refuse10 people who liked you,⚽️Футбол,Отсеять 10 людям которые тебя лайкнули.,⚽️Футбол,"Відсіяти 10 людям, які тебе лайкнули.",10,30
12, ⚽️🏃Give up on,"Refuse 50 people who liked you.",⚽️🏃1 ЛИГА,Отсеять 50 человек которые тебя лайкнули,⚽️🏃1 ЛІГА,"Відсіяти 50 людей, які тебе лайкнули.",50,100
13,👤❄️I'm not for everyone,"Reject 200 people who liked you.",🥅⚽️🏃Тренер Динамо,"Отказать 200 людям которые тебя лайкнули.",🥅⚽️🏃Тренер Динамо,"Відмовити 200 людям, які тебе лайкнули.",200,200
14,💓 Sympathy,Get the first like,💓Симпатия,"Получить первый лайк
",💓Симпатія,Отримати перший лайк,1,20
15,💖💝💘 Adoration,Get 100 likes,💖💝💘 Обожание,"Получить 100 лайков",💖💝💘 Любов,Отримати 100 лайків,100,150
16,🧲❤️‍🔥Love magnet,Get 50 likes,🧲❤️‍🔥Любовный магнит.,"Получить 50 лайков",🧲❤️‍🔥Любовний магніт,"Отримати 50 лайків",50,70
17,💧Like two drops of water,"Find the first person with high similarity.",💧Как две капли воды.,"Найти первого человека с высокой схожестью.
",💧Як дві краплі води,"Знайти першу людину з високою схожістю
",1,50
18,🕺👯‍♀️🕺Brothers in mind,"Find 10 people with high similarity",🕺👯‍♀️🕺Братья по разуму,"Найти 10 людей с высокой схожестью",🕺👯‍♀️🕺Брати по розуму,Знайти 10 людей з високою схожістю,10,100
19,👨👩👱‍♀️👨‍🦰 Clones,"Find 100 people with high similarity",👨👩👱‍♀️👨‍🦰Клоны,Найти 100 человек с высокой схожестью,👨👩👱‍♀️👨‍🦰Клони,"Знайти 100 людей з високою схожістю",100,200
20,👹 Our name is legion,"Find 200 people with high similarity.
",👹Имя нам легион,Найти 200 человек с высокой схожестью.,👹Ім'я нам легіон,"Знайти 200 чоловік із високою схожістю
",200,300
21,🛣 According to the well-known path,"Register using the referral link",🛣По изведанной тропе        ,Зарегистрироваться по реферальной ссылке,🛣По відомій стежці,"Зареєструватися з реферального посилання",1,50
22,🫵🚷 Reckless,Get the first report,🫵🚷Лихач,Получить первый донос,🫵🚷Лихач,"Отримати перший донос",1,30
23,👨‍💻🧠 An intellectual investment,"Write an idea about the development of the bot",👨‍💻🧠Интедектуальнное вложение,"Написать идею о развитие бота
",👨‍💻🧠Інтелектуальне вкладення,"Написати ідею про розвиток бота",1,50
24,🧠💰 Intellectual capital,Write 5 ideas about bot development,🧠💰Интелектуальный капитал,Написать 5 идей о развитие бота,🧠💰Інтелектуальний капітал,"Написати 5 ідей про розвиток бота",5,200
25,✉️ Dealer,"Invite 6 people via QR code
",✉️Дилер.,"Пригласите 6 человек через QR код
",✉️Ділер,Запросіть 6 людей через QR код,6,100
26,Interest," Log in to the bot for 5 days in a row", Интерес ,"Заходить в бота на протяжении 5 дней подряд
",Інтерес,Заходити в бота протягом 5 днів поспіль,5,50
27,Attendance ,"Log into the bot for 10 days in a row",Посещаемость ,Заходить в бота на протяжении 10 дней подряд,Відвідуваність,"Заходити в бота протягом 10 днів поспіль
",10,100
28,The habit,"Logging into the bot for 20 days in a row
",Привычка,"Заходить в бота на протяжении 20 дней подряд
",Звичка ,Заходити в бота протягом 20 днів поспіль,20,250
