Id,Name,Description,Condition,Reward
1,👤Особистість,Заповнити анкету вперше,1,50
2,👮‍♀️🕵️‍♂️👨‍🍳🧑‍💻Спліт," Заповнити анкету 25 разів",25,100
3,👔👖Переодягся,Заповнити анкету 10 разів,10,50
4,🧊Криголом," Пройти перший психологічний тест",1,30
5,🎙 Інтерв'ю,"Пройти 5 психологічних тестів",5,70
6,📚 Біографія.,"Пройти 10 психологічних тестів",10,100
7,❄️🥶Холод,Відсіяти 10 анкет,10,20
8,❄️🌨🥶Мороз,Відсіяти 50 анкет,50,50
9,🌨❄️☃️🥶Дубар ,Відсіяти 100 анкет,100,100
10,🌨❄️☃️🥶🧊Північний полюс,"Відсіяти 250 анкет",250,250
11,⚽️Футбол,"Відсіяти 10 людям, які тебе лайкнули.",10,30
12,⚽️🏃1 ЛІГА,"Відсіяти 50 людей, які тебе лайкнули.",50,100
13,🥅⚽️🏃Тренер Динамо,"Відмовити 200 людям, які тебе лайкнули.",200,200
14,💓Симпатія,Отримати перший лайк,1,20
15,💖💝💘 Любов,Отримати 100 лайків,100,150
16,🧲❤️‍🔥Любовний магніт,"Отримати 50 лайків",50,70
17,💧Як дві краплі води,"Знайти першу людину з високою схожістю
",1,50
18,🕺👯‍♀️🕺Брати по розуму,Знайти 10 людей з високою схожістю,10,100
19,👨👩👱‍♀️👨‍🦰Клони,"Знайти 100 людей з високою схожістю",100,200
20,👹Ім'я нам легіон,"Знайти 200 чоловік із високою схожістю
",200,300
21,🛣По відомій стежці,"Зареєструватися з реферального посилання",1,50
22,🫵🚷Лихач,"Отримати перший донос",1,30
23,👨‍💻🧠Інтелектуальне вкладення,"Написати ідею про розвиток бота",1,50
24,🧠💰Інтелектуальний капітал,"Написати 5 ідей про розвиток бота",5,200
25,✉️Ділер,Запросіть 6 людей через QR код,6,100
26,Інтерес,Заходити в бота протягом 5 днів поспіль,5,50
27,Відвідуваність,"Заходити в бота протягом 10 днів поспіль
",10,100
28,Звичка ,Заходити в бота протягом 20 днів поспіль,20,250
